date,vendor,amount,department,category,payment_method,invoice_no,notes
2025-01-19,Zomato Business,1754.25,Sales,,UPI,NOR-20251227,type=normal; cycle=adhoc
2025-01-30,Swiggy Corporate,25992.83,Design,Marketing,Credit Card,NOR-20250336,type=normal; cycle=quarterly
2025-01-27,HubSpot Enterprise,171115.20,Sales,Software,Credit Card,HSP-20250101,type=high_spend; variance_band=v2
2025-01-12,Employee Reimbursement - Sahil Verma,19855.96,HR & Admin,Office,Reimbursement,REB-20250033,type=reimbursement; claimant=Sahil Verma
2025-01-24,Zomato Business,5416.02,Product,Travel,Bank Transfer,NOR-20250304,type=normal; cycle=monthly
2025-01-28,Azure Compute,85343.20,Infrastructure,,Bank Transfer,HSP-20250053,type=high_spend; variance_band=v2
2025-01-21,AWS Cloud Services,25562.48,Product,,Bank Transfer,NOR-20250114,type=normal; cycle=quarterly
2025-01-17,GCP BigQuery,104830.90,Marketing,Software,Bank Transfer,HSP-20250044,type=high_spend; variance_band=v1
2025-01-15,Jio Fiber,24798.81,Engineering,Software,UPI,NOR-20250749,type=normal; cycle=quarterly
2025-01-11,HDFC Bank Charges,13344.10,Marketing,Other,UPI,NOR-20250629,type=normal; cycle=quarterly
2025-01-03,Zomato Business,11546.60,Design,,Bank Transfer,NOR-20250397,type=normal; cycle=quarterly
2025-01-21,LinkedIn Recruiter,17843.75,,Other,UPI,NOR-20250504,type=normal; cycle=adhoc
2025-01-06,Ola Corporate,26671.57,Engineering,Equipment,Credit Card,NOR-20250793,type=normal; cycle=quarterly
2025-01-01,Canva Teams,27711.81,,Equipment,Bank Transfer,NOR-20250026,type=normal; cycle=quarterly
2025-01-26,Office Depot,2153.61,,,Credit Card,NOR-20251121,type=normal; cycle=monthly
2025-01-17,Airtel Broadband,17935.66,Product,Marketing,UPI,NOR-20251374,type=normal; cycle=monthly
2025-01-01,Urban Company,9495.28,Infrastructure,Travel,Bank Transfer,NOR-20251423,type=normal; cycle=quarterly
2025-01-26,Razorpay Fees,27838.53,HR & Admin,Software,Bank Transfer,NOR-20250951,type=normal; cycle=adhoc
2025-01-23,Jio Fiber,23004.74,Design,,Bank Transfer,NOR-20250164,type=normal; cycle=monthly
2025-01-27,Ola Corporate,5531.72,,,Credit Card,NOR-20250802,type=normal; cycle=adhoc
2025-01-13,Employee Reimbursement - Ishita Das,11983.54,HR & Admin,,Reimbursement,REB-20250052,type=reimbursement; claimant=Ishita Das
2025-01-01,Employee Reimbursement - Ishita Das,18332.73,Sales,Vendors,Reimbursement,REB-20250057,type=reimbursement; claimant=Ishita Das
2025-01-29,Notion Labs,7494.99,Design,Other,Credit Card,NOR-20251146,type=normal; cycle=quarterly
2025-01-02,Notion Labs,29429.79,Engineering,Software,Bank Transfer,NOR-20250710,type=normal; cycle=quarterly
2025-01-04,Postman,13911.98,,Software,UPI,NOR-20250788,type=normal; cycle=quarterly
2025-01-26,Cloudflare,3742.83,Engineering,,Credit Card,NOR-20250210,type=normal; cycle=quarterly
2025-01-02,Databricks,154786.69,Sales,,Bank Transfer,HSP-20250003,type=high_spend; variance_band=v2
2025-01-07,Microsoft 365,24705.82,Operations,,Credit Card,NOR-20250070,type=normal; cycle=adhoc
2025-01-18,HDFC Bank Charges,14032.26,Design,,Credit Card,NOR-20250923,type=normal; cycle=monthly
2025-01-20,Canva Teams,27980.89,HR & Admin,,Credit Card,NOR-20251289,type=normal; cycle=monthly
2025-01-10,Urban Company,21161.35,Engineering,Software,Bank Transfer,NOR-20250395,type=normal; cycle=monthly
2025-01-30,AWS Cloud Services,11790.52,Design,Marketing,Bank Transfer,NOR-20250581,type=normal; cycle=monthly
2025-01-10,GitHub Enterprise,2065.42,Engineering,Marketing,Bank Transfer,NOR-20250733,type=normal; cycle=monthly
2025-01-10,Adobe Creative Cloud,9541.60,,Marketing,Bank Transfer,NOR-20251181,type=normal; cycle=quarterly
2025-01-13,Swiggy Corporate,13808.21,,,Bank Transfer,NOR-20250759,type=normal; cycle=monthly
2025-01-05,Microsoft 365,5493.03,Infrastructure,Equipment,Bank Transfer,NOR-20250948,type=normal; cycle=adhoc
2025-01-17,HDFC Bank Charges,28440.34,,Office,Bank Transfer,NOR-20250273,type=normal; cycle=quarterly
2025-01-22,Canva Teams,2998.64,Operations,Equipment,UPI,NOR-20250456,type=normal; cycle=monthly
2025-01-20,BluePeak Systems,11851.05,HR & Admin,,Bank Transfer,DUP-20250043,type=duplicate; pair=043; copy=1
2025-01-04,Google Ads,216387.76,,Equipment,Credit Card,HSP-20250026,type=high_spend; variance_band=v2
2025-01-01,Datadog,22054.44,Engineering,,UPI,NOR-20250674,type=normal; cycle=monthly
2025-01-07,Office Depot,21747.54,Product,,Bank Transfer,NOR-20250796,type=normal; cycle=quarterly
2025-01-15,Postman,18478.29,,Office,Bank Transfer,NOR-20251148,type=normal; cycle=monthly
2025-01-16,Vendor ABC Pvt Ltd,52518.93,Design,Office,Bank Transfer,DUP-20250060,type=duplicate; pair=060; copy=1
2025-01-05,BluePeak Systems,89469.76,Engineering,,Credit Card,DUP-20250054,type=duplicate; pair=054; copy=2
2025-01-10,Ola Corporate,14408.93,Product,Equipment,Credit Card,NOR-20251370,type=normal; cycle=monthly
2025-01-04,Saffron Rare Vendor 040,67734.25,Marketing,,Bank Transfer,RVR-20250039,type=rare_vendor; first_seen=true
2025-01-03,LinkedIn Recruiter,8130.23,Marketing,,Bank Transfer,NOR-20250664,type=normal; cycle=adhoc
2025-01-15,Notion Labs,11539.36,Engineering,,Credit Card,NOR-20251027,type=normal; cycle=monthly
2025-01-22,GitHub Enterprise,9717.56,Design,Office,Credit Card,NOR-20251256,type=normal; cycle=adhoc
2025-01-04,Urban Company,21992.08,Infrastructure,Office,UPI,NOR-20250074,type=normal; cycle=adhoc
2025-01-16,Zoom Communications,24293.61,,Software,Credit Card,NOR-20250084,type=normal; cycle=monthly
2025-01-07,Airtel Broadband,4702.43,Marketing,Marketing,UPI,NOR-20250768,type=normal; cycle=quarterly
2025-01-17,Datadog,15579.63,Marketing,Vendors,Credit Card,NOR-20250082,type=normal; cycle=quarterly
2025-01-10,Urban Company,10655.35,HR & Admin,,UPI,NOR-20250648,type=normal; cycle=monthly
2025-01-01,Notion Labs,21098.21,Product,Travel,UPI,NOR-20250848,type=normal; cycle=monthly
2025-01-18,HubSpot Enterprise,66795.09,Infrastructure,Vendors,Bank Transfer,HSP-20250007,type=high_spend; variance_band=v1
2025-01-11,Razorpay Fees,24075.67,Operations,Software,Credit Card,NOR-20251127,type=normal; cycle=quarterly
2025-01-11,Swiggy Corporate,2533.33,Product,Other,Bank Transfer,NOR-20250557,type=normal; cycle=quarterly
2025-01-10,Employee Reimbursement - Ishita Das,5908.58,HR & Admin,,Reimbursement,REB-20250039,type=reimbursement; claimant=Ishita Das
2025-01-12,BluePeak Systems,5088.08,,Other,Bank Transfer,DUP-20250041,type=duplicate; pair=041; copy=1
2025-01-27,Razorpay Fees,693.90,,Equipment,UPI,NOR-20250999,type=normal; cycle=adhoc
2025-01-13,Ola Corporate,17374.69,Product,,Credit Card,NOR-20250635,type=normal; cycle=quarterly
2025-01-01,Microsoft 365,12806.12,Product,,UPI,NOR-20251208,type=normal; cycle=monthly
2025-01-04,Adobe Creative Cloud,22577.04,Operations,Office,Credit Card,NOR-20251291,type=normal; cycle=monthly
2025-01-16,Postman,8705.62,Design,Vendors,Bank Transfer,NOR-20250148,type=normal; cycle=monthly
2025-01-06,Slack Technologies,15594.31,HR & Admin,Equipment,Bank Transfer,NOR-20251407,type=normal; cycle=adhoc
2025-01-21,Microsoft 365,17254.88,Sales,Travel,Bank Transfer,NOR-20250374,type=normal; cycle=quarterly
2025-01-01,Meta Ads,136414.11,Engineering,Software,Credit Card,HSP-20250196,type=high_spend; variance_band=v3
2025-01-14,GitHub Enterprise,20687.26,HR & Admin,Other,Credit Card,NOR-20251354,type=normal; cycle=adhoc
2025-01-03,Postman,13585.09,Sales,Travel,UPI,NOR-20250216,type=normal; cycle=monthly
2025-01-01,Atlassian,4902.91,Infrastructure,Marketing,UPI,NOR-20251313,type=normal; cycle=monthly
2025-01-30,Canva Teams,22505.56,Engineering,Vendors,Credit Card,NOR-20250761,type=normal; cycle=quarterly
2025-01-26,Freshworks,17844.06,,Software,UPI,NOR-20250633,type=normal; cycle=monthly
2025-01-05,Echo Rare Vendor 053,26986.44,Engineering,,Credit Card,RVR-20250052,type=rare_vendor; first_seen=true
2025-01-09,Postman,1771.91,Infrastructure,,Credit Card,NOR-20251141,type=normal; cycle=quarterly
2025-01-29,Dropbox Business,16679.83,,Travel,UPI,NOR-20251180,type=normal; cycle=monthly
2025-01-06,Ola Corporate,15327.84,Engineering,Software,UPI,NOR-20251434,type=normal; cycle=adhoc
2025-01-06,Alpha Rare Vendor 008,64476.27,Design,Other,Credit Card,RVR-20250007,type=rare_vendor; first_seen=true
2025-01-04,Notion Labs,11402.79,HR & Admin,,UPI,NOR-20251422,type=normal; cycle=monthly
2025-01-28,Databricks,143965.81,Marketing,Software,Bank Transfer,HSP-20250193,type=high_spend; variance_band=v1
2025-01-02,Alpha Rare Vendor 028,42274.41,,,Credit Card,RVR-20250027,type=rare_vendor; first_seen=true
2025-01-05,Jio Fiber,25136.03,Engineering,Vendors,Bank Transfer,NOR-20250268,type=normal; cycle=adhoc
2025-01-26,Dropbox Business,8847.53,Operations,Office,Credit Card,NOR-20251317,type=normal; cycle=quarterly
2025-01-18,Employee Reimbursement - Meera Singh,12661.18,Operations,Office,Reimbursement,REB-20250038,type=reimbursement; claimant=Meera Singh
2025-01-14,Employee Reimbursement - Arjun Patel,11110.24,HR & Admin,,Reimbursement,REB-20250064,type=reimbursement; claimant=Arjun Patel
2025-01-21,Zoom Communications,22963.47,Design,Office,Credit Card,NOR-20250510,type=normal; cycle=adhoc
2025-01-31,Figma,21767.27,HR & Admin,Equipment,Bank Transfer,NOR-20250359,type=normal; cycle=monthly
2025-01-02,Atlassian,13472.34,HR & Admin,Marketing,Bank Transfer,NOR-20250622,type=normal; cycle=adhoc
2025-01-09,Swiggy Corporate,26989.40,HR & Admin,Software,Credit Card,NOR-20251174,type=normal; cycle=monthly
2025-01-09,Jio Fiber,22325.75,Operations,Software,Credit Card,NOR-20251206,type=normal; cycle=monthly
2025-01-07,Figma,14120.10,Engineering,Travel,Bank Transfer,NOR-20250103,type=normal; cycle=quarterly
2025-01-30,Airtel Broadband,29622.08,Product,Vendors,UPI,NOR-20251008,type=normal; cycle=adhoc
2025-01-27,Jio Fiber,20960.03,Infrastructure,Marketing,UPI,NOR-20250601,type=normal; cycle=adhoc
2025-01-22,HubSpot Enterprise,66865.47,Engineering,,Credit Card,HSP-20250203,type=high_spend; variance_band=v3
2025-01-10,Employee Reimbursement - Vikram Rao,15678.70,Marketing,,Reimbursement,REB-20250095,type=reimbursement; claimant=Vikram Rao
2025-01-17,Postman,12416.72,Engineering,Travel,Credit Card,NOR-20250831,type=normal; cycle=quarterly
2025-01-01,Employee Reimbursement - Vikram Rao,10680.79,Operations,Travel,Reimbursement,REB-20250087,type=reimbursement; claimant=Vikram Rao
2025-01-17,Zomato Business,25412.29,Operations,Office,UPI,NOR-20250244,type=normal; cycle=quarterly
2025-01-02,Databricks,179899.65,Marketing,Equipment,Credit Card,HSP-20250194,type=high_spend; variance_band=v1
2025-01-30,RapidOps Vendor,3955.00,HR & Admin,Office,Bank Transfer,DUP-20250071,type=duplicate; pair=071; copy=2
2025-01-28,Uber for Business,15413.76,Design,Software,UPI,NOR-20250218,type=normal; cycle=monthly
2025-01-05,ICICI Bank Charges,4750.23,Infrastructure,,UPI,NOR-20250765,type=normal; cycle=adhoc
2025-01-01,Cloudflare,9741.46,Engineering,,Credit Card,NOR-20251097,type=normal; cycle=monthly
2025-01-12,HDFC Bank Charges,8889.23,Marketing,,UPI,NOR-20251003,type=normal; cycle=adhoc
2025-01-31,Vendor ABC Pvt Ltd,29473.23,HR & Admin,,Credit Card,DUP-20250004,type=duplicate; pair=004; copy=1
2025-01-17,Urban Company,3260.55,,Marketing,Credit Card,NOR-20251335,type=normal; cycle=adhoc
2025-01-27,Uber for Business,3863.69,Operations,Software,Bank Transfer,NOR-20250715,type=normal; cycle=quarterly
2025-01-17,Employee Reimbursement - Priya Nair,19298.72,Sales,Vendors,Reimbursement,REB-20250042,type=reimbursement; claimant=Priya Nair
2025-01-04,Freshworks,24968.80,Design,Software,Bank Transfer,NOR-20251371,type=normal; cycle=monthly
2025-01-30,Datadog,25130.74,Infrastructure,Marketing,Credit Card,NOR-20250842,type=normal; cycle=monthly
2025-01-01,Notion Labs,1964.25,Product,,Credit Card,NOR-20250617,type=normal; cycle=quarterly
2025-01-07,Databricks,51639.02,Sales,Vendors,Bank Transfer,HSP-20250182,type=high_spend; variance_band=v1
2025-01-29,Microsoft 365,28702.78,Product,,UPI,NOR-20251207,type=normal; cycle=adhoc
2025-01-22,Dropbox Business,20370.87,,Equipment,UPI,NOR-20250489,type=normal; cycle=monthly
2025-01-27,Postman,1557.28,HR & Admin,,Bank Transfer,NOR-20251004,type=normal; cycle=quarterly
2025-01-10,Jio Fiber,22715.82,,Marketing,Credit Card,NOR-20251159,type=normal; cycle=quarterly
2025-01-13,Razorpay Fees,1490.50,Engineering,Marketing,UPI,NOR-20250404,type=normal; cycle=monthly
2025-01-21,GitHub Enterprise,18053.72,Sales,,UPI,NOR-20250263,type=normal; cycle=quarterly
2025-01-16,Microsoft 365,10620.47,Operations,Equipment,Bank Transfer,NOR-20250478,type=normal; cycle=quarterly
2025-01-06,Oracle Cloud,139262.29,Infrastructure,,Credit Card,HSP-20250086,type=high_spend; variance_band=v2
2025-01-23,LinkedIn Recruiter,21133.52,Operations,Office,UPI,NOR-20250522,type=normal; cycle=monthly
2025-01-29,IndiaMART,10614.97,,Equipment,Bank Transfer,NOR-20250058,type=normal; cycle=quarterly
2025-01-11,Zoom Communications,1954.08,Product,Travel,Bank Transfer,NOR-20250637,type=normal; cycle=monthly
2025-01-01,Datadog,24485.06,Operations,,Credit Card,NOR-20250208,type=normal; cycle=adhoc
2025-01-31,Jio Fiber,17123.54,Engineering,,Bank Transfer,NOR-20250442,type=normal; cycle=monthly
2025-01-02,Quantum Office Supply,25971.32,Marketing,Other,Credit Card,DUP-20250024,type=duplicate; pair=024; copy=2
2025-01-22,Dropbox Business,23912.74,HR & Admin,Travel,Bank Transfer,NOR-20250638,type=normal; cycle=adhoc
2025-01-19,Adobe Creative Cloud,24517.92,Engineering,Other,UPI,NOR-20251020,type=normal; cycle=quarterly
2025-01-13,Office Depot,9931.43,Sales,Marketing,Credit Card,NOR-20250094,type=normal; cycle=monthly
2025-01-22,Jio Fiber,16342.56,,,Credit Card,NOR-20250747,type=normal; cycle=monthly
2025-01-14,HDFC Bank Charges,5178.86,Engineering,Other,Credit Card,NOR-20251384,type=normal; cycle=quarterly
2025-01-11,AWS Cloud Services,25435.76,Marketing,,Credit Card,NOR-20251212,type=normal; cycle=monthly
2025-01-31,Echo Rare Vendor 050,71655.62,Design,,UPI,RVR-20250049,type=rare_vendor; first_seen=true
2025-01-04,Notion Labs,988.60,Design,Other,Credit Card,NOR-20250805,type=normal; cycle=adhoc
2025-01-09,Zomato Business,29900.63,Infrastructure,,UPI,NOR-20250125,type=normal; cycle=quarterly
2025-01-24,Canva Teams,9901.28,Design,Office,Bank Transfer,NOR-20250972,type=normal; cycle=quarterly
2025-01-20,Jio Fiber,3973.95,HR & Admin,Vendors,Bank Transfer,NOR-20250312,type=normal; cycle=monthly
2025-01-25,Quantum Office Supply,87523.84,Marketing,Other,Credit Card,DUP-20250017,type=duplicate; pair=017; copy=2
2025-01-06,Databricks,219146.75,Marketing,Vendors,Credit Card,HSP-20250181,type=high_spend; variance_band=v3
2025-01-12,Employee Reimbursement - Asha Reddy,7285.57,HR & Admin,Travel,Reimbursement,REB-20250012,type=reimbursement; claimant=Asha Reddy
2025-01-17,Employee Reimbursement - Asha Reddy,9002.08,HR & Admin,,Reimbursement,REB-20250022,type=reimbursement; claimant=Asha Reddy
2025-01-15,Databricks,112217.60,Marketing,,Bank Transfer,HSP-20250064,type=high_spend; variance_band=v1
2025-01-05,Adobe Creative Cloud,7456.25,Design,,Bank Transfer,NOR-20250854,type=normal; cycle=monthly
2025-01-26,Google Ads,247949.58,Sales,Marketing,Credit Card,HSP-20250090,type=high_spend; variance_band=v3
2025-01-11,Freshworks,11252.56,Infrastructure,,Credit Card,NOR-20250774,type=normal; cycle=monthly
2025-01-15,AWS Cloud Services,12579.09,HR & Admin,Office,Credit Card,NOR-20251203,type=normal; cycle=adhoc
2025-01-11,Miro,15768.49,Sales,Marketing,Credit Card,NOR-20250032,type=normal; cycle=monthly
2025-01-20,LinkedIn Recruiter,24967.49,Engineering,Travel,Bank Transfer,NOR-20250415,type=normal; cycle=adhoc
2025-01-01,Miro,18985.26,Sales,Software,UPI,NOR-20250779,type=normal; cycle=adhoc
2025-01-27,Vendor ABC Pvt Ltd,55486.54,Design,Other,Bank Transfer,DUP-20250034,type=duplicate; pair=034; copy=2
2025-01-28,RapidOps Vendor,21949.27,Engineering,,Credit Card,DUP-20250019,type=duplicate; pair=019; copy=2
2025-01-25,Adobe Creative Cloud,17283.83,Product,Marketing,UPI,NOR-20250700,type=normal; cycle=quarterly
2025-01-24,AWS Enterprise Support,158493.21,,Vendors,Credit Card,HSP-20250200,type=high_spend; variance_band=v1
2025-01-06,Datadog,10608.76,Product,Marketing,Bank Transfer,NOR-20250669,type=normal; cycle=adhoc
2025-01-10,Employee Reimbursement - Ravi Kumar,24044.62,Operations,Vendors,Reimbursement,REB-20250083,type=reimbursement; claimant=Ravi Kumar
2025-01-05,Airtel Broadband,13271.42,HR & Admin,Software,Bank Transfer,NOR-20251327,type=normal; cycle=monthly
2025-01-12,Notion Labs,29561.41,Marketing,Marketing,Bank Transfer,NOR-20250317,type=normal; cycle=monthly
2025-01-17,Meta Ads,116851.92,Sales,Software,Credit Card,HSP-20250234,type=high_spend; variance_band=v2
2025-01-04,Razorpay Fees,8415.13,Sales,Travel,Bank Transfer,NOR-20250696,type=normal; cycle=monthly
2025-01-01,RapidOps Vendor,65198.13,Operations,,Bank Transfer,DUP-20250053,type=duplicate; pair=053; copy=2
2025-01-18,Postman,13058.27,Marketing,,UPI,NOR-20251069,type=normal; cycle=quarterly
2025-01-15,GitHub Enterprise,12945.51,HR & Admin,Office,Credit Card,NOR-20250040,type=normal; cycle=monthly
2025-01-31,ICICI Bank Charges,12805.56,Product,Software,Bank Transfer,NOR-20251376,type=normal; cycle=adhoc
2025-01-10,Adobe Creative Cloud,29031.38,Sales,Vendors,Credit Card,NOR-20251102,type=normal; cycle=quarterly
2025-01-26,Dropbox Business,20974.77,Design,Other,Bank Transfer,NOR-20251051,type=normal; cycle=adhoc
2025-01-18,Office Depot,19577.82,,Other,Bank Transfer,NOR-20250414,type=normal; cycle=monthly
2025-01-31,Notion Labs,16979.61,HR & Admin,,Credit Card,NOR-20250832,type=normal; cycle=adhoc
2025-01-06,Snowflake,47784.91,Infrastructure,,Credit Card,HSP-20250111,type=high_spend; variance_band=v2
2025-01-03,Microsoft 365,18307.26,,,UPI,NOR-20251152,type=normal; cycle=monthly
2025-01-25,Adobe Creative Cloud,10893.47,Operations,Equipment,Bank Transfer,NOR-20250185,type=normal; cycle=adhoc
2025-01-06,HDFC Bank Charges,28942.26,,Vendors,Bank Transfer,NOR-20250398,type=normal; cycle=monthly
2025-01-02,Spectrum Tech,24486.27,Engineering,Office,Bank Transfer,DUP-20250005,type=duplicate; pair=005; copy=2
2025-01-28,Employee Reimbursement - Ravi Kumar,14010.28,Marketing,Office,Reimbursement,REB-20250071,type=reimbursement; claimant=Ravi Kumar
2025-01-12,Google Workspace,21080.46,Design,,Bank Transfer,NOR-20250809,type=normal; cycle=quarterly
2025-01-12,Office Depot,19448.99,Product,Office,UPI,NOR-20250321,type=normal; cycle=adhoc
2025-01-15,Oracle Cloud,23824.97,Engineering,Marketing,Credit Card,HSP-20250159,type=high_spend; variance_band=v3
2025-01-09,Jio Fiber,16773.49,Engineering,Software,UPI,NOR-20250432,type=normal; cycle=adhoc
2025-01-29,HDFC Bank Charges,27662.74,,Vendors,Credit Card,NOR-20250077,type=normal; cycle=adhoc
2025-01-25,Northstar Consulting,77186.66,Sales,,Bank Transfer,DUP-20250037,type=duplicate; pair=037; copy=2
2025-01-02,Employee Reimbursement - Karan Gupta,17551.26,Sales,Vendors,Reimbursement,REB-20250048,type=reimbursement; claimant=Karan Gupta
2025-01-18,ICICI Bank Charges,13202.35,Infrastructure,Equipment,Credit Card,NOR-20250926,type=normal; cycle=adhoc
2025-01-15,Employee Reimbursement - Vikram Rao,17893.07,Operations,,Reimbursement,REB-20250088,type=reimbursement; claimant=Vikram Rao
2025-01-15,Figma,7539.80,Operations,,Bank Transfer,NOR-20250544,type=normal; cycle=monthly
2025-01-23,Figma,26923.18,HR & Admin,Travel,Bank Transfer,NOR-20251044,type=normal; cycle=monthly
2025-01-09,Adobe Creative Cloud,13158.82,,,UPI,NOR-20250228,type=normal; cycle=adhoc
2025-01-09,RapidOps Vendor,50926.37,,Office,Credit Card,DUP-20250027,type=duplicate; pair=027; copy=1
2025-01-29,Atlassian,10007.99,,Other,Credit Card,NOR-20250117,type=normal; cycle=quarterly
2025-01-20,Cloudflare,8611.96,Product,,Credit Card,NOR-20250582,type=normal; cycle=adhoc
2025-01-21,Figma,24813.64,Sales,Vendors,Credit Card,NOR-20250205,type=normal; cycle=adhoc
2025-01-09,Saffron Rare Vendor 049,70847.23,Product,Software,Bank Transfer,RVR-20250048,type=rare_vendor; first_seen=true
2025-01-30,Employee Reimbursement - Neha Sharma,17231.08,Operations,,Reimbursement,REB-20250060,type=reimbursement; claimant=Neha Sharma
2025-01-29,HubSpot Enterprise,244733.42,Sales,Marketing,Bank Transfer,HSP-20250057,type=high_spend; variance_band=v1
2025-01-18,Razorpay Fees,15013.88,Infrastructure,,Credit Card,NOR-20250887,type=normal; cycle=monthly
2025-01-28,Google Workspace,13140.98,HR & Admin,Marketing,Credit Card,NOR-20250742,type=normal; cycle=adhoc
2025-01-18,Zoom Communications,11487.77,Product,Marketing,Bank Transfer,NOR-20250647,type=normal; cycle=adhoc
2025-01-14,Miro,12739.09,Sales,Other,Bank Transfer,NOR-20250201,type=normal; cycle=adhoc
2025-01-12,Razorpay Fees,6392.61,HR & Admin,,UPI,NOR-20250687,type=normal; cycle=monthly
2025-01-07,IndiaMART,25852.53,Infrastructure,Equipment,Bank Transfer,NOR-20251006,type=normal; cycle=adhoc
2025-01-05,AWS Enterprise Support,112013.66,Marketing,,Credit Card,HSP-20250202,type=high_spend; variance_band=v3
2025-01-07,Postman,8038.24,Sales,Other,Credit Card,NOR-20251299,type=normal; cycle=quarterly
2025-01-20,Microsoft 365,5678.92,Engineering,Software,Credit Card,NOR-20250594,type=normal; cycle=monthly
2025-01-09,Meta Ads,139263.52,Infrastructure,Equipment,Bank Transfer,HSP-20250142,type=high_spend; variance_band=v2
2025-01-09,AWS Enterprise Support,94019.32,Engineering,,Credit Card,HSP-20250063,type=high_spend; variance_band=v2
2025-01-06,Proxima Solutions,59338.09,Engineering,Software,Bank Transfer,DUP-20250031,type=duplicate; pair=031; copy=2
2025-01-03,Employee Reimbursement - Sahil Verma,21462.25,,Other,Reimbursement,REB-20250008,type=reimbursement; claimant=Sahil Verma
2025-01-14,Airtel Broadband,24835.35,Engineering,Vendors,UPI,NOR-20250152,type=normal; cycle=quarterly
2025-01-24,Razorpay Fees,18460.56,HR & Admin,,UPI,NOR-20250545,type=normal; cycle=adhoc
2025-01-20,BluePeak Systems,26483.00,Sales,,Credit Card,DUP-20250069,type=duplicate; pair=069; copy=1
2025-01-25,Ola Corporate,22841.84,Operations,,Credit Card,NOR-20250387,type=normal; cycle=adhoc
2025-01-18,ICICI Bank Charges,7567.07,,Travel,UPI,NOR-20250884,type=normal; cycle=adhoc
2025-01-02,Employee Reimbursement - Vikram Rao,20201.95,,,Reimbursement,REB-20250019,type=reimbursement; claimant=Vikram Rao
2025-01-20,Freshworks,19954.38,Product,Office,Bank Transfer,NOR-20250998,type=normal; cycle=monthly
2025-01-12,Slack Technologies,21361.50,Engineering,Marketing,UPI,NOR-20250430,type=normal; cycle=quarterly
2025-01-22,Echo Rare Vendor 037,7051.60,HR & Admin,Vendors,Bank Transfer,RVR-20250036,type=rare_vendor; first_seen=true
2025-01-19,Azure Compute,186367.25,Infrastructure,Equipment,Bank Transfer,HSP-20250075,type=high_spend; variance_band=v3
2025-01-02,Postman,18130.28,HR & Admin,Vendors,UPI,NOR-20251079,type=normal; cycle=quarterly
2025-01-16,Office Depot,10266.46,HR & Admin,Marketing,UPI,NOR-20250748,type=normal; cycle=adhoc
2025-01-06,Northstar Consulting,21442.05,Product,Software,Bank Transfer,DUP-20250006,type=duplicate; pair=006; copy=2
2025-01-02,Employee Reimbursement - Arjun Patel,9500.25,Sales,,Reimbursement,REB-20250018,type=reimbursement; claimant=Arjun Patel
2025-01-18,Uber for Business,18764.44,Infrastructure,Travel,Credit Card,NOR-20251167,type=normal; cycle=adhoc
2025-01-04,LinkedIn Recruiter,12571.72,HR & Admin,Equipment,Credit Card,NOR-20250718,type=normal; cycle=monthly
2025-01-18,Razorpay Fees,28533.79,HR & Admin,Travel,Bank Transfer,NOR-20251137,type=normal; cycle=monthly
2025-01-16,Meta Ads,83655.31,Engineering,Marketing,Bank Transfer,HSP-20250151,type=high_spend; variance_band=v2
